#Data Set Export - Discharge.Recorder@008471,,,,,
Timestamp (UTC),Value (Cubic Feet Per Second),Grade Code,Approval Level,Interpolation Type,Event Timestamp
2014-12-03 18:27:00,3.60999989509583,1,650,1,
2014-12-03 18:42:00,0.649999976158142,1,650,1,
2014-12-03 18:57:00,2.94000005722046,1,650,1,
2014-12-03 19:12:00,9.5,1,650,1,
2014-12-03 19:27:00,0.980000019073486,1,650,1,
2014-12-03 19:42:00,4.92000007629395,1,650,1,
2014-12-03 19:57:00,1.30999994277954,1,650,1,
2014-12-03 20:12:00,-1.63999998569489,1,650,1,
2014-12-03 20:27:00,3.27999997138977,1,650,1,
2014-12-03 20:42:00,0.980000019073486,1,650,1,
2014-12-03 20:57:00,1.30999994277954,1,650,1,
2014-12-03 21:12:00,5.8899998664856,1,650,1,
2014-12-03 21:27:00,-1.30999994277954,1,650,1,
2014-12-03 21:42:00,4.25,1,650,1,
2014-12-03 21:57:00,1.96000003814697,1,650,1,
2014-12-03 22:12:00,8.1899995803833,1,650,1,
2014-12-03 22:27:00,-1.30999994277954,1,650,1,
2014-12-03 22:42:00,0.980000019073486,1,650,1,
2014-12-03 22:57:00,3.26999998092651,1,650,1,
2014-12-03 23:12:00,-2.94000005722046,1,650,1,
2014-12-03 23:27:00,1.63999998569489,1,650,1,
2014-12-03 23:42:00,-0.330000013113022,1,650,1,
2014-12-03 23:57:00,3.92000007629395,1,650,1,
2014-12-04 00:12:00,-3.58999991416931,1,650,1,
2014-12-04 00:27:00,11.4399995803833,1,650,1,
2014-12-04 00:42:00,1.62999999523163,1,650,1,
2014-12-04 00:57:00,-0.980000019073486,1,650,1,
2014-12-04 01:12:00,3.26999998092651,1,650,1,
2014-12-04 01:27:00,0.330000013113022,1,650,1,
2014-12-04 01:42:00,-0.649999976158142,1,650,1,
2014-12-04 01:57:00,3.58999991416931,1,650,1,
2014-12-04 02:12:00,0.330000013113022,1,650,1,
2014-12-04 02:27:00,2.60999989509583,1,650,1,
2014-12-04 02:42:00,3.25999999046326,1,650,1,
2014-12-04 02:57:00,4.8899998664856,1,650,1,
2014-12-04 03:12:00,0,1,650,1,
2014-12-04 03:27:00,-7.17999982833862,1,650,1,
2014-12-04 03:42:00,1.95000004768372,1,650,1,
2014-12-04 03:57:00,8.80000019073486,1,650,1,
2014-12-04 04:12:00,7.17000007629395,1,650,1,
2014-12-04 04:27:00,1.29999995231628,1,650,1,
2014-12-04 04:42:00,4.55999994277954,1,650,1,
2014-12-04 04:57:00,12.3900003433228,1,650,1,
2014-12-04 05:12:00,5.21000003814697,1,650,1,
2014-12-04 05:27:00,5.21000003814697,1,650,1,
2014-12-04 05:42:00,5.8600001335144,1,650,1,
2014-12-04 05:57:00,-10.7399997711182,1,650,1,
2014-12-04 06:12:00,0.649999976158142,1,650,1,
2014-12-04 06:27:00,7.48999977111816,1,650,1,
